"rankId","ranks"
10,"Kingdom,Kingdom,Kingdom,Kingdom,Kingdom,Kingdom"
20,"Subkingdom,Subkingdom,Subkingdom,Subkingdom,Subkingdom,Subkingdom"
25,"Infrakingdom"
30,"Phylum,Phylum,Division,Division,Phylum,Division"
40,"Subphylum,Subphylum,Subdivision,Subdivision,Subphylum,Subdivision"
45,"Infradivision"
50,"Superclass,Superclass,Superclass,Superclass,Superclass"
60,"Class,Class,Class,Class,Class,Class"
70,"Subclass,Subclass,Subclass,Subclass,Subclass,Subclass"
80,"Infraclass,Infraclass,Infraclass"
90,"Superorder,Superorder,Superorder,Superorder,Superorder,Superorder"
100,"Order,Order,Order,Order,Order,Order"
110,"Suborder,Suborder,Suborder,Suborder,Suborder,Suborder"
120,"Infraorder,Infraorder,Infraorder"
130,"Superfamily,Superfamily,Superfamily"
140,"Family,Family,Family,Family,Family,Family"
150,"Subfamily,Subfamily,Subfamily,Subfamily,Subfamily,Subfamily"
160,"Tribe,Tribe,Tribe,Tribe,Tribe,Tribe"
170,"Subtribe,Subtribe,Subtribe,Subtribe,Subtribe,Subtribe"
180,"Genus,Genus,Genus,Genus,Genus,Genus"
190,"Subgenus,Subgenus,Subgenus,Subgenus,Subgenus,Subgenus"
200,"Section,Section,Section"
210,"Subsection,Subsection,Subsection"
220,"Species,Species,Species,Species,Species,Species"
230,"Subspecies,Subspecies,Subspecies,Subspecies,Subspecies,Subspecies"
240,"Variety,Variety,Variety,Variety,Variety"
245,"Form"
250,"Subvariety,Subvariety,Race,Subvariety"
255,"Stirp"
260,"Form,Form,Morph,Form"
265,"Aberration"
270,"Subform,Subform,Subform"
300,"Unspecified"
